Standard,Clues,ForceTrees,balanced|362836346
946296aa-9449-4a2b-8d71-9d8dc9354e04|EC|1
9887f949-0a02-4ca0-974d-fe400569ece9|EX|100
62fda5de-8f71-4333-8f4d-e411ffd621af|RB|81
a63780b0-42b1-4774-9b29-e09860be1909|SK|12
fac86702-fb8e-4f69-9c10-875ca4c054d3|AC|1
a8959482-6024-4de2-9c4a-85904321498a|MS|1
121ed77f-9a75-4fdc-ba79-d8805e836385|KS|1
e06e9d7a-e566-4594-aba9-87b8e660a89c|KS|1
5d7a6107-ca33-4820-a7cf-0a9db233d16c|KS|1
b4d6891b-6985-44b7-a38a-7207a2c0eb9a|KS|1
00000000-0000-0000-0000-100000000001|EX|46
0f891a29-8e8e-452f-b5a2-d3923c0adc32|KS|1
15e6e704-70cf-4410-ae45-00ee9e9e74e1|TP|Grove
3923d025-375d-4e4a-ab65-b4be0b95b47e|KS|1
39f08f0c-9eb5-468b-a132-a1f325df358b|TP|Ginso
bc6b3f8d-e278-460e-86b6-7ece93e236ce|AC|1
9135c75e-d9c0-45ca-9b05-e4ac4bbe75fb|KS|1
927cd88f-8daf-462f-8e0f-5f5886fc96c4|KS|1
88661177-24f0-435a-bd71-e41ae7c769c7|KS|1
9f4f6208-7d94-42b3-a9c0-7fa64ff186f3|KS|1
0e87e1d6-3fb6-47c1-a996-e54429ddf5b0|KS|1
31ce9625-ba55-4bb3-87c0-9d4350a7e512|KS|1
32cc3987-9ef6-461d-ae6a-f38f3288bb5d|KS|1
a0e20125-fd8d-403e-8f05-18bc816178fb|SK|5
821112d5-830d-4dd0-a16c-6f574a4122aa|SK|51
7bbd835d-c1cb-4144-be49-5df3d7e76835|MS|1
50e3ac87-6cb0-46a5-9b6d-61fc512bf491|KS|1
e5d4683c-2909-4d5a-b5a2-6184af83f66f|EC|1
41d64105-b524-4a62-85fd-a44e0c458ff8|AC|1
f1d27bac-0911-4a0e-8901-626982bb909e|MS|1
5a507a02-ede0-4720-8db8-d1a0e3e99929|HC|1
00000000-0000-0000-0000-100000000002|RB|0
6e75862e-6c9f-488a-b4cf-760dcaa22f9e|KS|1
c7978ab3-94f4-4040-b4a6-0d254d03017a|KS|1
